%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1562106022619699908,126,1562106022618286983,,19,0.0
1562106022665206549,127,1562106022664989453,,19,0.0
1562106022718535155,128,1562106022717472820,,19,0.0
1562106022828704636,129,1562106022828026714,,19,0.0
1562106022918586704,130,1562106022917326555,,19,0.0
1562106022966427008,131,1562106022965335256,,20,0.0
1562106023018463961,132,1562106023017382998,,20,0.0
1562106023066731720,133,1562106023065665227,,20,0.0
1562106023117181348,134,1562106023117041855,,20,0.0
1562106023167078799,135,1562106023166406330,,20,0.0
1562106023223705208,136,1562106023218854453,,20,0.0
1562106023266302860,137,1562106023265213151,,21,0.0
1562106023317731344,138,1562106023317557154,,21,0.0
1562106023365320305,139,1562106023365165596,,21,0.0
1562106023418419654,140,1562106023417305183,,21,0.0
1562106023525240321,141,1562106023524684536,,21,0.0
1562106023628775274,142,1562106023628095088,,21,0.0
1562106023669912856,143,1562106023669720556,,21,0.0
1562106023718398217,144,1562106023717390703,,22,0.0
1562106023765873904,145,1562106023764859509,,22,0.0
1562106023877678608,146,1562106023877083766,,22,0.0
1562106023928935567,147,1562106023928137114,,22,0.0
1562106023972804814,148,1562106023972441975,,22,0.0
1562106024018233483,149,1562106024017169274,,22,0.0
1562106024066458177,150,1562106024065650929,,22,0.0
1562106024119116896,151,1562106024117879950,,22,0.0
1562106024166915829,152,1562106024165764636,,23,0.0
1562106024218808522,153,1562106024217438299,,23,0.0
1562106024267769774,154,1562106024266421811,,23,0.0
1562106024317692683,155,1562106024317445713,,23,0.0
1562106024366266655,156,1562106024365743118,,23,0.0
1562106024418970900,157,1562106024418454896,,23,0.0
1562106024466162847,158,1562106024465498443,,23,0.0
1562106024518835095,159,1562106024518668827,,24,0.0
1562106024571179545,160,1562106024570882786,,24,0.0
1562106024617625627,161,1562106024617387898,,24,0.0
1562106024666544157,162,1562106024665496191,,24,0.0
1562106024821966039,163,1562106024817525974,,24,0.0
1562106024865911356,164,1562106024865034775,,24,0.0
1562106024917673016,165,1562106024917512240,,25,0.0
1562106024966670996,166,1562106024965514826,,25,0.0
1562106025018194546,167,1562106025017098669,,25,0.0
1562106025066722547,168,1562106025065575596,,25,0.0
1562106025117765653,169,1562106025117508933,,25,0.0
1562106025165900850,170,1562106025165526016,,25,0.0
1562106025218101709,171,1562106025216957681,,26,0.0
1562106025267333964,172,1562106025266375315,,26,0.0
1562106025331080146,173,1562106025330523624,,26,0.0
1562106025365723274,174,1562106025365557412,,26,0.0
1562106025418701220,175,1562106025417662337,,26,0.0
1562106025466293374,176,1562106025465252536,,26,0.0
1562106025518677222,177,1562106025518470308,,26,0.0
1562106025566430338,178,1562106025565647730,,27,0.0
1562106025618732354,179,1562106025617662504,,27,0.0
1562106025666111166,180,1562106025665806560,,27,0.0
1562106025718643952,181,1562106025718423329,,27,0.0
1562106025767577899,182,1562106025767383759,,27,0.0
1562106025864873593,183,1562106025864649107,,27,0.0
1562106025923138056,184,1562106025922800254,,27,0.0
1562106025966735852,185,1562106025965504228,,28,0.0
1562106026018691785,186,1562106026017579584,,28,0.0
1562106026066874181,187,1562106026065929585,,28,0.0
1562106026119023584,188,1562106026117875240,,28,0.0
1562106026166211449,189,1562106026165011493,,28,0.0
1562106026218555877,190,1562106026217376350,,28,0.0
1562106026268102244,191,1562106026266025748,,28,0.0
1562106026335376426,192,1562106026334030947,,29,0.0
1562106026367001333,193,1562106026365946802,,29,0.0
1562106026418875094,194,1562106026417740442,,29,0.0
1562106026466774429,195,1562106026465677560,,29,0.0
1562106026518632718,196,1562106026518405750,,29,0.0
1562106026566864497,197,1562106026565953568,,30,0.0
1562106026618254882,198,1562106026618086553,,30,0.0
1562106026666641475,199,1562106026666314292,,30,0.0
1562106026719140766,200,1562106026718954629,,30,0.0
1562106026771937209,201,1562106026771663456,,31,0.0
1562106026867838070,202,1562106026867585425,,31,0.0
1562106026965605301,203,1562106026965361626,,31,0.0
1562106027018563186,204,1562106027018177694,,31,0.0
1562106027067172228,205,1562106027067014731,,31,0.0
1562106027120653792,206,1562106027120481740,,32,0.0
1562106027166959750,207,1562106027166788441,,32,0.0
1562106027218993497,208,1562106027218720217,,32,0.0
1562106027266919552,209,1562106027266681841,,32,0.0
1562106027319388088,210,1562106027319218699,,32,0.0
1562106027366853410,211,1562106027366703953,,32,0.0
1562106027418856633,212,1562106027418649697,,32,0.0
1562106027536905785,213,1562106027536254881,,33,0.0
1562106027587230749,214,1562106027586339426,,33,0.0
1562106027622866322,215,1562106027622631022,,33,0.0
1562106027666821070,216,1562106027666639718,,33,0.0
1562106027718777330,217,1562106027718586818,,33,0.0
1562106027778292798,218,1562106027777446524,,33,0.0
1562106027926316636,219,1562106027921813822,,34,0.0
1562106027975012614,220,1562106027974606267,,34,0.0
1562106028071402681,221,1562106028071111731,,34,0.0
1562106028177175331,222,1562106028176446685,,34,0.0
1562106028230740168,223,1562106028230182198,,35,0.0
1562106028286938544,224,1562106028284907105,,35,0.0
1562106028321305982,225,1562106028320968563,,35,0.0
1562106028367975989,226,1562106028367609146,,35,0.0
1562106028419030114,227,1562106028418857559,,35,0.0
1562106028467019921,228,1562106028466758133,,36,0.0
1562106028520363934,229,1562106028520118098,,36,0.0
1562106028568961304,230,1562106028568734040,,36,0.0
1562106028618839460,231,1562106028618667287,,36,0.0
1562106028666898688,232,1562106028666725032,,37,0.0
1562106028721175146,233,1562106028720853712,,37,0.0
1562106028766875950,234,1562106028766666794,,37,0.0
1562106028870655485,235,1562106028870321479,,37,0.0
1562106028923878580,236,1562106028923577204,,38,0.0
1562106028967197884,237,1562106028967014190,,38,0.0
1562106029017800753,238,1562106029017539261,,38,0.0
1562106029066779281,239,1562106029066520800,,38,0.0
1562106029122998284,240,1562106029122588148,,39,0.0
1562106029167062453,241,1562106029166848853,,39,0.0
1562106029219013558,242,1562106029218837733,,39,0.0
1562106029267645351,243,1562106029267258684,,40,0.0
1562106029334012971,244,1562106029333685445,,40,0.0
1562106029367572351,245,1562106029367177594,,40,0.0
1562106029418950435,246,1562106029418650863,,41,0.0
1562106029467159611,247,1562106029466734966,,41,0.0
1562106029522199300,248,1562106029521765366,,42,0.0
1562106029568898206,249,1562106029568719971,,42,0.0
1562106029618920255,250,1562106029618757666,,42,0.0
1562106029666990093,251,1562106029666760603,,43,0.0
1562106029722979016,252,1562106029722718721,,43,0.0
1562106029821983166,253,1562106029821707722,,44,0.0
1562106029867795238,254,1562106029867485281,,44,0.0
1562106029919742393,255,1562106029919488641,,45,0.0
1562106029967731543,256,1562106029967526813,,45,0.0
1562106030019371792,257,1562106030019160784,,46,0.0
1562106030067668718,258,1562106030067489019,,46,0.0
1562106030120740909,259,1562106030119866930,,47,0.0
1562106030180088652,260,1562106030179769972,,47,0.0
1562106030219665143,261,1562106030219455661,,48,0.0
1562106030266578893,262,1562106030266342774,,48,0.0
1562106030320895311,263,1562106030320258086,,49,0.0
1562106030368113202,264,1562106030367921305,,49,0.0
1562106030419474280,265,1562106030419269573,,50,0.0
1562106030468348422,266,1562106030467910702,,51,0.0
1562106030569637768,267,1562106030569453749,,51,0.0
1562106030619673629,268,1562106030619131664,,52,0.0
1562106030667726203,269,1562106030667440233,,52,0.0
1562106030722963357,270,1562106030722721089,,52,0.0
1562106030768600706,271,1562106030768356320,,53,0.0
1562106030870685580,272,1562106030870387489,,53,0.0
1562106030923738221,273,1562106030923371496,,53,0.0
1562106030977085178,274,1562106030973227502,,54,0.0
1562106031025683721,275,1562106031025342079,,54,0.0
1562106031118998586,276,1562106031118685983,,55,0.0
1562106031170042437,277,1562106031169706288,,55,0.0
1562106031217704211,278,1562106031217512816,,55,0.0
1562106031264891640,279,1562106031264684092,,56,0.0
1562106031319184143,280,1562106031318061977,,56,0.0
1562106031367250451,281,1562106031366974606,,57,0.0
1562106031419249946,282,1562106031416871241,,57,0.0
1562106031466222742,283,1562106031464772031,,58,0.0
1562106031518288987,284,1562106031517535916,,58,0.0
1562106031570117320,285,1562106031569903179,,59,0.0
1562106031616246784,286,1562106031616095104,,59,0.0
1562106031666192111,287,1562106031665093600,,60,0.0
1562106031718435534,288,1562106031717368771,,60,0.0
1562106031766560609,289,1562106031765000438,,61,0.0
1562106031868076689,290,1562106031867766048,,61,0.0
1562106031928239929,291,1562106031927586002,,62,0.0
1562106031983668122,292,1562106031979346537,,62,0.0
1562106032018545765,293,1562106032017339733,,63,0.0
1562106032066234189,294,1562106032064869899,,63,0.0
1562106032116286333,295,1562106032116079499,,64,0.0
1562106032165580493,296,1562106032164534953,,65,0.0
1562106032222016085,297,1562106032221009115,,66,0.0
1562106032271909256,298,1562106032271363519,,67,0.0
1562106032326750062,299,1562106032326369183,,68,0.0
1562106032366801950,300,1562106032365448980,,69,0.0
1562106032417963997,301,1562106032416891871,,69,0.0
1562106032466398781,302,1562106032465250382,,69,0.0
1562106032527862598,303,1562106032527164229,,70,0.0
1562106032575655046,304,1562106032575165346,,71,0.0
1562106032646724029,305,1562106032642373359,,71,0.0
1562106032667918399,306,1562106032667405669,,72,0.0
1562106032718000517,307,1562106032717794112,,72,0.0
1562106032766541735,308,1562106032766302901,,73,0.0
1562106032867225034,309,1562106032865226369,,73,0.0
1562106032916991176,310,1562106032916799194,,74,0.0
1562106032966142679,311,1562106032965921896,,74,0.0
1562106033018118502,312,1562106033016981126,,75,0.0
1562106033066311343,313,1562106033065194779,,75,0.0
1562106033118453169,314,1562106033117452210,,76,0.0
1562106033180903813,315,1562106033180527940,,76,0.0
1562106033220784425,316,1562106033220506268,,77,0.0
1562106033265848712,317,1562106033264982833,,77,0.0
1562106033317010004,318,1562106033316344962,,78,0.0
1562106033365997638,319,1562106033365197287,,78,0.0
1562106033417004822,320,1562106033416305313,,79,0.0
1562106033466122960,321,1562106033465181378,,79,0.0
1562106033518024215,322,1562106033516734933,,79,0.0
1562106033567727002,323,1562106033566424078,,80,0.0
1562106033617165505,324,1562106033616164957,,80,0.0
1562106033665441574,325,1562106033664462811,,80,0.0
1562106033718068894,326,1562106033716985283,,80,0.0
1562106033775409173,327,1562106033775002022,,81,0.0
1562106033865542483,328,1562106033865326486,,81,0.0
1562106033918365071,329,1562106033917230308,,81,0.0
1562106033980420967,330,1562106033979946584,,81,0.0
1562106034017864196,331,1562106034016785236,,82,0.0
1562106034065171986,332,1562106034064154095,,82,0.0
1562106034118006886,333,1562106034117026621,,82,0.0
1562106034176253975,334,1562106034175865004,,83,0.0
1562106034217614427,335,1562106034216575790,,83,0.0
1562106034265096837,336,1562106034264868370,,84,0.0
1562106034318432503,337,1562106034317182970,,84,0.0
1562106034365645076,338,1562106034365489739,,85,0.0
1562106034417972936,339,1562106034416896845,,85,0.0
1562106034465936422,340,1562106034464892085,,86,0.0
1562106034517990501,341,1562106034516886850,,86,0.0
1562106034565676572,342,1562106034565490666,,87,0.0
1562106034616837598,343,1562106034616675520,,87,0.0
1562106034666434433,344,1562106034665173711,,88,0.0
1562106034717678553,345,1562106034716708412,,88,0.0
1562106034779947316,346,1562106034779588133,,89,0.0
1562106034868915425,347,1562106034868199037,,89,0.0
1562106034920233973,348,1562106034920063139,,90,0.0
1562106034967608701,349,1562106034967386115,,90,0.0
1562106035019822028,350,1562106035018919950,,90,0.0
1562106035067161047,351,1562106035066793838,,90,0.0
1562106035119265060,352,1562106035119060551,,90,0.0
