# each row: x y
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
9,11
10,11
11,11
12,11
12,10
12,9
12,8
12,7
12,6
11,6
10,6
9,6
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
